SIM,Hid,Drp,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,128_128_128_64_32_16,0.3,0.15645727662895045,0.13698381371380014,0.5769080234833659,0.5018433179723503,0.15328467153284672,0.13291139240506328,0.07664233576642336,0.5,0.16891891891891891,0.14450867052023122,0.08445945945945946,0.5
1,32_32_16,0.3,0.166601638704643,0.15211629886518652,0.4725996283295478,0.4953319027684947,0.1678832116788321,0.1515645371577575,0.5777777777777777,0.5086206896551724,0.22297297297297297,0.21258385380522785,0.5892857142857143,0.532520325203252
2,32_32_16,0.3,0.16543113538821694,0.14975623714206177,0.4988703556614597,0.4998499079513608,0.17518248175182483,0.1606939550013554,0.5783582089552239,0.5129310344827587,0.19594594594594594,0.17942505707496623,0.5868055555555556,0.516260162601626
3,32_16,0.3,0.18259851736246585,0.17169955016040797,0.5167072510822511,0.5047789073767897,0.20437956204379562,0.19598341678781026,0.5807692307692308,0.5301724137931034,0.24324324324324326,0.23641053989312694,0.5912408759124088,0.5447154471544715
4,128_64,0.3,0.19547405384315256,0.1882972030850477,0.5045706083957301,0.5019640951677397,0.2116788321167883,0.20451612903225808,0.5813953488372093,0.5344827586206896,0.2635135135135135,0.25942248542441354,0.5932835820895522,0.556910569105691
5,64_32_32,0.3,0.166601638704643,0.15030023542032958,0.5511099531005732,0.5057504016134895,0.17518248175182483,0.1606939550013554,0.5783582089552239,0.5129310344827587,0.19594594594594594,0.17942505707496623,0.5868055555555556,0.516260162601626
6,128_64_32_16,0.3,0.16426063207179087,0.14810066476733144,0.5016944114149822,0.500200513596229,0.17518248175182483,0.1606939550013554,0.5783582089552239,0.5129310344827587,0.20945945945945946,0.19621222670937194,0.5880281690140845,0.524390243902439
7,64_32,0.3,0.17635583300819352,0.1652216751656637,0.47789316142841615,0.49379932224059286,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.23648648648648649,0.22856220305364638,0.5905797101449275,0.540650406504065
8,256_128_64_32_16,0.3,0.17167381974248927,0.15718905284992904,0.533554556783019,0.5056202436650602,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.20945945945945946,0.19621222670937194,0.5880281690140845,0.524390243902439
9,256_128_64,0.3,0.1978150604760047,0.19124539106711147,0.5027689080167215,0.5012628838780033,0.2116788321167883,0.20451612903225808,0.5813953488372093,0.5344827586206896,0.2635135135135135,0.25942248542441354,0.5932835820895522,0.556910569105691
10,128_128_64_32,0.3,0.1759656652360515,0.16381153406015428,0.4992628556061392,0.49982000680104594,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.24324324324324326,0.23641053989312694,0.5912408759124088,0.5447154471544715
11,64_64_32,0.3,0.1775263363246196,0.16602391219517015,0.49496551299421115,0.49865796601822215,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.24324324324324326,0.23641053989312694,0.5912408759124088,0.5447154471544715
12,512_256_128_64_32_16,0.3,0.17635583300819352,0.16364221802896317,0.5187909435697046,0.5042178210855877,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.23648648648648649,0.22856220305364638,0.5905797101449275,0.540650406504065
13,512_256_128,0.3,0.222395630120952,0.2194292333211848,0.5164765664985012,0.510569763487764,0.29927007299270075,0.29923273657289007,0.5897435897435898,0.5862068965517242,0.30405405405405406,0.3037679835578899,0.5725108225108225,0.5653658536585365
14,256_256_128_64,0.3,0.1829886851346079,0.17216988116832635,0.5173447015834348,0.5050093221233334,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.24324324324324326,0.23641053989312694,0.5912408759124088,0.5447154471544715
15,128_64_32,0.3,0.17869683964104566,0.1672880361057446,0.5014518305689782,0.5003910601423529,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.22972972972972974,0.22062084257206208,0.5899280575539568,0.5365853658536586
16,512_256_128_64,0.3,0.1829886851346079,0.17171607736812083,0.529891936609705,0.5081348717768319,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.25,0.24416839199447893,0.5919117647058824,0.5487804878048781
17,256_128_64_32,0.3,0.17440499414748342,0.16141432284225277,0.5093709619623642,0.5020238974683693,0.18248175182481752,0.16969696969696968,0.5789473684210527,0.5172413793103449,0.23648648648648649,0.22856220305364638,0.5905797101449275,0.540650406504065
18,64_32_16,0.3,0.16894264533749512,0.155190930418258,0.4776064610866373,0.49567254136325795,0.17518248175182483,0.1606939550013554,0.5783582089552239,0.5129310344827587,0.20270270270270271,0.1878720238095238,0.5874125874125874,0.5203252032520325
19,128_64_32_16_8,0.3,0.1591884510339446,0.14168549465245833,0.46519015071854186,0.4972051218911598,0.15328467153284672,0.13291139240506328,0.07664233576642336,0.5,0.17567567567567569,0.15341335333833458,0.5850340136054422,0.5040650406504065
20,256_128_64_32_16_8,0.3,0.1533359344518143,0.13294993234100136,0.07666796722590714,0.5,0.15328467153284672,0.13291139240506328,0.07664233576642336,0.5,0.16891891891891891,0.14450867052023122,0.08445945945945946,0.5
