SIM,n_estimators,min_samples_split,max_depth,min_samples_leaf,max_samples,max_features,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,5,0.05,3,0.05,0.3,sqrt,0.7120699940345994,0.6930902924968206,0.7594054807245704,0.6374269005847953,0.6580310880829016,0.23255813953488372,0.2,0.2777777777777778,0.6293103448275862,0.4691358024691358,0.4470588235294118,0.4935064935064935
1,5,0.05,3,0.05,0.3,log2,0.7568104991051899,0.7472618309568092,0.7950747581354441,0.7048732943469785,0.6528497409326425,0.32323232323232326,0.25396825396825395,0.4444444444444444,0.7413793103448276,0.6808510638297872,0.5765765765765766,0.8311688311688312
2,5,0.05,3,0.05,0.4,sqrt,0.7178365480214755,0.6993006993006993,0.766016713091922,0.6432748538011696,0.689119170984456,0.3023255813953488,0.26,0.3611111111111111,0.5775862068965517,0.25757575757575757,0.3090909090909091,0.22077922077922077
3,5,0.05,3,0.05,0.4,log2,0.7584012726188109,0.745336407461748,0.8059836808703535,0.69317738791423,0.7202072538860104,0.38636363636363635,0.3269230769230769,0.4722222222222222,0.5991379310344828,0.3111111111111111,0.3620689655172414,0.2727272727272727
4,5,0.05,3,0.05,0.5,sqrt,0.7279777291708093,0.6980132450331126,0.8045801526717558,0.6163742690058479,0.6787564766839378,0.20512820512820512,0.19047619047619047,0.2222222222222222,0.6163793103448276,0.2764227642276423,0.3695652173913043,0.22077922077922077
5,5,0.05,3,0.05,0.5,log2,0.7715251541061842,0.7568253968253968,0.8277777777777777,0.6970760233918128,0.689119170984456,0.23076923076923078,0.21428571428571427,0.25,0.6939655172413793,0.5234899328859061,0.5416666666666666,0.5064935064935064
6,5,0.05,3,0.05,0.6,sqrt,0.7512427918075164,0.7335463258785943,0.8084507042253521,0.6713450292397661,0.7046632124352331,0.3595505617977528,0.3018867924528302,0.4444444444444444,0.6939655172413793,0.5419354838709678,0.5384615384615384,0.5454545454545454
7,5,0.05,3,0.05,0.6,log2,0.7293696559952276,0.7026436530478479,0.7992047713717694,0.6269005847953216,0.7875647668393783,0.4533333333333333,0.4358974358974359,0.4722222222222222,0.6896551724137931,0.4857142857142857,0.5396825396825397,0.44155844155844154
8,5,0.05,3,0.05,0.7,sqrt,0.7605885862000398,0.7481171548117155,0.8072234762979684,0.6970760233918128,0.6580310880829016,0.21428571428571427,0.1875,0.25,0.646551724137931,0.5119047619047619,0.4725274725274725,0.5584415584415584
9,5,0.05,3,0.05,0.7,log2,0.788029429310002,0.7811088295687885,0.8251626898047723,0.7415204678362574,0.6787564766839378,0.24390243902439024,0.21739130434782608,0.2777777777777778,0.6077586206896551,0.32592592592592595,0.3793103448275862,0.2857142857142857
10,5,0.05,3,0.1,0.3,sqrt,0.6333267051103599,0.6053082191780822,0.6710963455149501,0.5512670565302145,0.5906735751295337,0.16842105263157894,0.13559322033898305,0.2222222222222222,0.5603448275862069,0.23880597014925373,0.2807017543859649,0.2077922077922078
11,5,0.05,3,0.1,0.3,log2,0.6573871545038775,0.6606263541461493,0.6675955414012739,0.6538011695906433,0.5958549222797928,0.25,0.19117647058823528,0.3611111111111111,0.521551724137931,0.26490066225165565,0.2702702702702703,0.2597402597402597
12,5,0.05,3,0.1,0.4,sqrt,0.6890037780870949,0.6926100628930818,0.6983749504558066,0.6869395711500975,0.6217616580310881,0.3047619047619048,0.2318840579710145,0.4444444444444444,0.6594827586206896,0.5269461077844312,0.4888888888888889,0.5714285714285714
13,5,0.05,3,0.1,0.4,log2,0.7051103599125075,0.6974086921036523,0.7315924657534246,0.6662768031189084,0.6528497409326425,0.34951456310679613,0.26865671641791045,0.5,0.7241379310344828,0.6404494382022472,0.5643564356435643,0.7402597402597403
14,5,0.05,3,0.1,0.5,sqrt,0.6987472658580235,0.6816558100441269,0.7392889699179581,0.6323586744639377,0.6424870466321243,0.2247191011235955,0.18867924528301888,0.2777777777777778,0.6594827586206896,0.5093167701863354,0.4880952380952381,0.5324675324675324
15,5,0.05,3,0.1,0.5,log2,0.6249751441638497,0.6280078895463511,0.6355289421157685,0.6206627680311891,0.5233160621761658,0.2459016393442623,0.1744186046511628,0.4166666666666667,0.603448275862069,0.48314606741573035,0.42574257425742573,0.5584415584415584
16,5,0.05,3,0.1,0.6,sqrt,0.7301650427520382,0.7516016840563793,0.7084195997239475,0.8003898635477583,0.5647668393782384,0.34375,0.2391304347826087,0.6111111111111112,0.6422413793103449,0.6175115207373272,0.4785714285714286,0.8701298701298701
17,5,0.05,3,0.1,0.6,log2,0.7208192483595148,0.7229676400947119,0.7319216939672393,0.7142300194931774,0.6735751295336787,0.29213483146067415,0.24528301886792453,0.3611111111111111,0.5646551724137931,0.2937062937062937,0.3181818181818182,0.2727272727272727
18,5,0.05,3,0.1,0.7,sqrt,0.7162457745078544,0.6977335310315611,0.7639146567717996,0.6421052631578947,0.6787564766839378,0.29545454545454547,0.25,0.3611111111111111,0.5818965517241379,0.2706766917293233,0.32142857142857145,0.23376623376623376
19,5,0.05,3,0.1,0.7,log2,0.7224100218731359,0.6833030852994555,0.8171459576776994,0.5871345029239766,0.7461139896373057,0.36363636363636365,0.34146341463414637,0.3888888888888889,0.6422413793103449,0.3025210084033613,0.42857142857142855,0.23376623376623376
20,5,0.05,4,0.05,0.3,sqrt,0.7251938755219726,0.7131589871315899,0.7625388371060808,0.6697855750487329,0.6735751295336787,0.35051546391752575,0.2786885245901639,0.4722222222222222,0.7241379310344828,0.6631578947368421,0.5575221238938053,0.8181818181818182
21,5,0.05,4,0.05,0.3,log2,0.7413004573473851,0.7065192871644485,0.8383297644539615,0.6105263157894737,0.694300518134715,0.21333333333333335,0.20512820512820512,0.2222222222222222,0.7413793103448276,0.5774647887323944,0.6307692307692307,0.5324675324675324
22,5,0.05,4,0.05,0.4,sqrt,0.7506462517399085,0.7334183673469388,0.8064516129032258,0.672514619883041,0.6683937823834197,0.21951219512195122,0.1956521739130435,0.25,0.7112068965517241,0.5562913907284768,0.5675675675675675,0.5454545454545454
23,5,0.05,4,0.05,0.4,log2,0.7637701332272817,0.7580448065173117,0.7936034115138593,0.7255360623781676,0.7046632124352331,0.41237113402061853,0.32786885245901637,0.5555555555555556,0.7327586206896551,0.6736842105263158,0.5663716814159292,0.8311688311688312
24,5,0.05,4,0.05,0.5,sqrt,0.7981706104593359,0.798491165376216,0.8135113268608414,0.7840155945419103,0.689119170984456,0.3181818181818182,0.2692307692307692,0.3888888888888889,0.625,0.3829787234042553,0.421875,0.35064935064935066
25,5,0.05,4,0.05,0.5,log2,0.756213959037582,0.7282801418439716,0.8438623523369286,0.6405458089668616,0.7409326424870466,0.34210526315789475,0.325,0.3611111111111111,0.6206896551724138,0.2903225806451613,0.3829787234042553,0.23376623376623376
26,5,0.05,4,0.05,0.6,sqrt,0.7661562934977133,0.7503184713375797,0.8237762237762237,0.6888888888888889,0.6994818652849741,0.30952380952380953,0.2708333333333333,0.3611111111111111,0.6293103448275862,0.3064516129032258,0.40425531914893614,0.24675324675324675
27,5,0.05,4,0.05,0.6,log2,0.7599920461324319,0.7581646964536165,0.7798845836768343,0.7376218323586745,0.7046632124352331,0.3595505617977528,0.3018867924528302,0.4444444444444444,0.6206896551724138,0.34328358208955223,0.40350877192982454,0.2987012987012987
28,5,0.05,4,0.05,0.7,sqrt,0.756213959037582,0.7460646230323115,0.79584622182943,0.7021442495126705,0.6735751295336787,0.27586206896551724,0.23529411764705882,0.3333333333333333,0.7586206896551724,0.6923076923076923,0.6,0.8181818181818182
29,5,0.05,4,0.05,0.7,log2,0.8536488367468682,0.8523866827115925,0.8777364725320116,0.8284600389863548,0.7046632124352331,0.2962962962962963,0.26666666666666666,0.3333333333333333,0.7801724137931034,0.7243243243243244,0.6203703703703703,0.8701298701298701
30,5,0.05,4,0.1,0.3,sqrt,0.688407238019487,0.6632280249301525,0.7389846743295019,0.6015594541910332,0.6424870466321243,0.30303030303030304,0.23809523809523808,0.4166666666666667,0.6681034482758621,0.5157232704402516,0.5,0.5324675324675324
31,5,0.05,4,0.1,0.3,log2,0.738715450387751,0.7589875275128394,0.7166608936612401,0.8066276803118908,0.616580310880829,0.3392857142857143,0.25,0.5277777777777778,0.6293103448275862,0.5274725274725275,0.45714285714285713,0.6233766233766234
32,5,0.05,4,0.1,0.4,sqrt,0.7373235235633326,0.7382603526847632,0.7506043513295729,0.7263157894736842,0.6735751295336787,0.27586206896551724,0.23529411764705882,0.3333333333333333,0.5905172413793104,0.31654676258992803,0.3548387096774194,0.2857142857142857
33,5,0.05,4,0.1,0.4,log2,0.6776695168025453,0.6761238761238761,0.6934426229508197,0.6596491228070176,0.6424870466321243,0.28865979381443296,0.22950819672131148,0.3888888888888889,0.5431034482758621,0.39080459770114945,0.35051546391752575,0.44155844155844154
34,5,0.05,4,0.1,0.5,sqrt,0.7134619208590177,0.7210067763794773,0.7161538461538461,0.725925925925926,0.6528497409326425,0.30927835051546393,0.2459016393442623,0.4166666666666667,0.6681034482758621,0.5333333333333333,0.5,0.5714285714285714
35,5,0.05,4,0.1,0.5,log2,0.7240007953867568,0.7323563440030852,0.7245326211369706,0.7403508771929824,0.6373056994818653,0.3,0.234375,0.4166666666666667,0.7327586206896551,0.6804123711340206,0.5641025641025641,0.8571428571428571
36,5,0.05,4,0.1,0.6,sqrt,0.7309604295088487,0.7267218743688144,0.7539815590947192,0.701364522417154,0.6476683937823834,0.2765957446808511,0.22413793103448276,0.3611111111111111,0.6681034482758621,0.5217391304347826,0.5,0.5454545454545454
37,5,0.05,4,0.1,0.6,log2,0.7070988268045337,0.7033232628398791,0.7275,0.6807017543859649,0.6373056994818653,0.2553191489361702,0.20689655172413793,0.3333333333333333,0.7155172413793104,0.648936170212766,0.5495495495495496,0.7922077922077922
38,5,0.05,4,0.1,0.7,sqrt,0.7347385166036986,0.7231216272312163,0.7731913004882379,0.6791423001949318,0.694300518134715,0.3218390804597701,0.27450980392156865,0.3888888888888889,0.6163793103448276,0.2992125984251969,0.38,0.24675324675324675
39,5,0.05,4,0.1,0.7,log2,0.7749055478226288,0.7588410737111205,0.836542977923908,0.6943469785575048,0.694300518134715,0.33707865168539325,0.2830188679245283,0.4166666666666667,0.5862068965517241,0.3333333333333333,0.3582089552238806,0.3116883116883117
40,5,0.05,5,0.05,0.3,sqrt,0.7683436070789421,0.7556114956996014,0.8178928247048138,0.7021442495126705,0.7202072538860104,0.35714285714285715,0.3125,0.4166666666666667,0.6637931034482759,0.5185185185185185,0.49411764705882355,0.5454545454545454
41,5,0.05,5,0.05,0.3,log2,0.732352356333267,0.6967102298332583,0.8254137746930059,0.602729044834308,0.7409326424870466,0.32432432432432434,0.3157894736842105,0.3333333333333333,0.625,0.304,0.3958333333333333,0.24675324675324675
42,5,0.05,5,0.05,0.4,sqrt,0.7454762378206403,0.7106690777576854,0.8456159225389994,0.6128654970760234,0.7409326424870466,0.2857142857142857,0.29411764705882354,0.2777777777777778,0.8017241379310345,0.7325581395348837,0.6631578947368421,0.8181818181818182
43,5,0.05,5,0.05,0.4,log2,0.7420958441041957,0.7367566470468845,0.7684165961049958,0.7076023391812866,0.6787564766839378,0.3541666666666667,0.2833333333333333,0.4722222222222222,0.6724137931034483,0.5189873417721519,0.5061728395061729,0.5324675324675324
44,5,0.05,5,0.05,0.5,sqrt,0.7365281368065222,0.7166987385075904,0.7935606060606061,0.653411306042885,0.6994818652849741,0.30952380952380953,0.2708333333333333,0.3611111111111111,0.6853448275862069,0.5165562913907285,0.527027027027027,0.5064935064935064
45,5,0.05,5,0.05,0.5,log2,0.7506462517399085,0.732051282051282,0.8099290780141843,0.6678362573099416,0.7046632124352331,0.2962962962962963,0.26666666666666666,0.3333333333333333,0.625,0.4161073825503356,0.4305555555555556,0.4025974025974026
46,5,0.05,5,0.05,0.6,sqrt,0.8011533107973752,0.7862334330910645,0.8703265499290109,0.7169590643274854,0.7253886010362695,0.3291139240506329,0.3023255813953488,0.3611111111111111,0.75,0.5857142857142857,0.6507936507936508,0.5324675324675324
47,5,0.05,5,0.05,0.6,log2,0.7949890634320939,0.7856103139945935,0.8418003565062389,0.7364522417153996,0.7150259067357513,0.38202247191011235,0.32075471698113206,0.4722222222222222,0.6767241379310345,0.5398773006134969,0.5116279069767442,0.5714285714285714
48,5,0.05,5,0.05,0.7,sqrt,0.8156691191091668,0.8118530545971179,0.8467400508044031,0.7797270955165692,0.7253886010362695,0.3116883116883117,0.2926829268292683,0.3333333333333333,0.6810344827586207,0.5432098765432098,0.5176470588235295,0.5714285714285714
49,5,0.05,5,0.05,0.7,log2,0.7876317359315967,0.7739204064352244,0.8466882816118574,0.7126705653021442,0.7098445595854922,0.3170731707317073,0.2826086956521739,0.3611111111111111,0.6982758620689655,0.5454545454545454,0.5454545454545454,0.5454545454545454
50,5,0.05,5,0.1,0.3,sqrt,0.6703121893020482,0.6488775942397289,0.7102457116365323,0.597270955165692,0.616580310880829,0.3018867924528302,0.22857142857142856,0.4444444444444444,0.5560344827586207,0.2589928057553957,0.2903225806451613,0.23376623376623376
51,5,0.05,5,0.1,0.3,log2,0.6241797574070391,0.6535923753665689,0.6167416118989969,0.6951267056530215,0.5544041450777202,0.2711864406779661,0.1951219512195122,0.4444444444444444,0.5474137931034483,0.450261780104712,0.37719298245614036,0.5584415584415584
52,5,0.05,5,0.1,0.4,sqrt,0.6446609663949096,0.6310138344001652,0.6707638279192274,0.5957115009746589,0.5595854922279793,0.22018348623853212,0.1643835616438356,0.3333333333333333,0.625,0.48520710059171596,0.44565217391304346,0.5324675324675324
53,5,0.05,5,0.1,0.4,log2,0.6772718234241399,0.6295366354713535,0.7593612334801763,0.5376218323586744,0.694300518134715,0.2891566265060241,0.2553191489361702,0.3333333333333333,0.5905172413793104,0.25196850393700787,0.32,0.2077922077922078
54,5,0.05,5,0.1,0.5,sqrt,0.6392921057864387,0.6548706240487062,0.6395392047565961,0.6709551656920077,0.5544041450777202,0.24561403508771928,0.1794871794871795,0.3888888888888889,0.5905172413793104,0.47513812154696133,0.41346153846153844,0.5584415584415584
55,5,0.05,5,0.1,0.5,log2,0.7086896003181548,0.7136994332616767,0.7155172413793104,0.7118908382066277,0.6476683937823834,0.3333333333333333,0.25757575757575757,0.4722222222222222,0.6724137931034483,0.5365853658536586,0.5057471264367817,0.5714285714285714
56,5,0.05,5,0.1,0.6,sqrt,0.7186319347782859,0.7080668454714256,0.7519719544259421,0.6690058479532164,0.6735751295336787,0.3368421052631579,0.2711864406779661,0.4444444444444444,0.6551724137931034,0.5180722891566265,0.48314606741573035,0.5584415584415584
57,5,0.05,5,0.1,0.6,log2,0.7333465897792801,0.7281573079262113,0.7584459459459459,0.7001949317738791,0.6683937823834197,0.3191489361702128,0.25862068965517243,0.4166666666666667,0.6853448275862069,0.6294416243654822,0.5166666666666667,0.8051948051948052
58,5,0.05,5,0.1,0.7,sqrt,0.7202227082919069,0.7022222222222222,0.7680555555555556,0.6467836257309941,0.7409326424870466,0.40476190476190477,0.3541666666666667,0.4722222222222222,0.6379310344827587,0.5,0.46153846153846156,0.5454545454545454
59,5,0.05,5,0.1,0.7,log2,0.7208192483595148,0.7051658966820663,0.7642239417387346,0.6545808966861598,0.6269430051813472,0.2653061224489796,0.20967741935483872,0.3611111111111111,0.5905172413793104,0.2962962962962963,0.3448275862068966,0.2597402597402597
60,5,0.05,6,0.05,0.3,sqrt,0.7337442831576855,0.710235879679723,0.7981517509727627,0.639766081871345,0.6994818652849741,0.21621621621621623,0.21052631578947367,0.2222222222222222,0.7844827586206896,0.7126436781609196,0.6391752577319587,0.8051948051948052
61,5,0.05,6,0.05,0.3,log2,0.7277788824816067,0.7276705788740799,0.7428919577579204,0.7130604288499025,0.6010362694300518,0.33043478260869563,0.24050632911392406,0.5277777777777778,0.5301724137931034,0.2875816993464052,0.2894736842105263,0.2857142857142857
62,5,0.05,6,0.05,0.4,sqrt,0.7518393318751243,0.735593220338983,0.8055684454756381,0.6768031189083821,0.694300518134715,0.3218390804597701,0.27450980392156865,0.3888888888888889,0.6724137931034483,0.5308641975308642,0.5058823529411764,0.5584415584415584
63,5,0.05,6,0.05,0.4,log2,0.7460727778882481,0.7241304817455174,0.812015503875969,0.653411306042885,0.6839378238341969,0.22784810126582278,0.20930232558139536,0.25,0.625,0.2809917355371901,0.38636363636363635,0.22077922077922077
64,5,0.05,6,0.05,0.5,sqrt,0.8140783455955458,0.8090667755768838,0.8494854202401372,0.7723196881091617,0.7253886010362695,0.3116883116883117,0.2926829268292683,0.3333333333333333,0.6681034482758621,0.37398373983739835,0.5,0.2987012987012987
65,5,0.05,6,0.05,0.5,log2,0.7243984887651621,0.7143446001648804,0.7577612592916484,0.6756335282651073,0.6113989637305699,0.17582417582417584,0.14545454545454545,0.2222222222222222,0.6422413793103449,0.5029940119760479,0.4666666666666667,0.5454545454545454
66,5,0.05,6,0.05,0.6,sqrt,0.7828594153907338,0.7677584006805614,0.844642021525503,0.7037037037037037,0.7253886010362695,0.3614457831325301,0.3191489361702128,0.4166666666666667,0.7887931034482759,0.72,0.6428571428571429,0.8181818181818182
67,5,0.05,6,0.05,0.6,log2,0.764167826605687,0.7532251352476071,0.8076751450245426,0.7056530214424951,0.694300518134715,0.3058823529411765,0.2653061224489796,0.3611111111111111,0.75,0.6914893617021277,0.5855855855855856,0.8441558441558441
