SIM,n_estimators,min_samples_split,max_depth,min_samples_leaf,max_samples,max_features,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,5,0.05,3,0.05,0.3,sqrt,0.7296990346394094,0.7333333333333333,0.7488558352402745,0.7184412733260154,0.7372262773722628,0.41935483870967744,0.3170731707317073,0.6190476190476191,0.6824324324324325,0.45977011494252873,0.3225806451612903,0.8
1,5,0.05,3,0.05,0.3,log2,0.7333901192504259,0.760398060729778,0.7105388650453028,0.8177826564215148,0.635036496350365,0.375,0.2542372881355932,0.7142857142857143,0.581081081081081,0.41509433962264153,0.2716049382716049,0.88
2,5,0.05,3,0.05,0.4,sqrt,0.7450312322544009,0.7656576200417536,0.7298507462686568,0.8051591657519209,0.635036496350365,0.358974358974359,0.24561403508771928,0.6666666666666666,0.581081081081081,0.41509433962264153,0.2716049382716049,0.88
3,5,0.05,3,0.05,0.4,log2,0.7558205565019875,0.7591036414565826,0.7751716247139588,0.743688254665203,0.7226277372262774,0.40625,0.3023255813953488,0.6190476190476191,0.6081081081081081,0.40816326530612246,0.273972602739726,0.8
4,5,0.05,3,0.05,0.5,sqrt,0.779954571266326,0.7785081451843384,0.8121645796064401,0.747530186608123,0.7737226277372263,0.43636363636363634,0.35294117647058826,0.5714285714285714,0.6148648648648649,0.27848101265822783,0.2037037037037037,0.44
5,5,0.05,3,0.05,0.5,log2,0.7995457126632595,0.818041237113402,0.7711370262390671,0.8710208562019759,0.6934306569343066,0.4166666666666667,0.29411764705882354,0.7142857142857143,0.5945945945945946,0.4117647058823529,0.2727272727272727,0.84
6,5,0.05,3,0.05,0.6,sqrt,0.793015332197615,0.7933087609866742,0.8205278592375367,0.7678375411635565,0.8029197080291971,0.5423728813559322,0.42105263157894735,0.7619047619047619,0.6554054054054054,0.42696629213483145,0.296875,0.76
7,5,0.05,3,0.05,0.6,log2,0.7808063600227144,0.7804323094425484,0.8099173553719008,0.7530186608122942,0.7737226277372263,0.4745762711864407,0.3684210526315789,0.6666666666666666,0.6959459459459459,0.4578313253012048,0.3275862068965517,0.76
8,5,0.05,3,0.05,0.7,sqrt,0.7671777399204998,0.7559523809523809,0.8257477243172952,0.6970362239297475,0.781021897810219,0.4642857142857143,0.37142857142857144,0.6190476190476191,0.668918918918919,0.4235294117647059,0.3,0.72
9,5,0.05,3,0.05,0.7,log2,0.7879045996592845,0.806426535371858,0.7638684339715267,0.854006586169045,0.7007299270072993,0.4057971014492754,0.2916666666666667,0.6666666666666666,0.6013513513513513,0.4158415841584158,0.27631578947368424,0.84
10,5,0.05,3,0.1,0.3,sqrt,0.6467915956842702,0.6550194120909595,0.6619955156950673,0.6481888035126235,0.5912408759124088,0.2631578947368421,0.18181818181818182,0.47619047619047616,0.5337837837837838,0.34285714285714286,0.225,0.72
11,5,0.05,3,0.1,0.3,log2,0.7084043157296991,0.7504252733900365,0.6733536851286525,0.8474204171240395,0.5328467153284672,0.30434782608695654,0.19718309859154928,0.6666666666666666,0.5135135135135135,0.3793103448275862,0.24175824175824176,0.88
12,5,0.05,3,0.1,0.4,sqrt,0.6450880181714934,0.6537396121883656,0.6599552572706935,0.6476399560922064,0.5912408759124088,0.2631578947368421,0.18181818181818182,0.47619047619047616,0.527027027027027,0.33962264150943394,0.2222222222222222,0.72
13,5,0.05,3,0.1,0.4,log2,0.6714934696195344,0.6681961571551477,0.6996996996996997,0.6394072447859495,0.6131386861313869,0.2318840579710145,0.16666666666666666,0.38095238095238093,0.5540540540540541,0.35294117647058826,0.23376623376623376,0.72
14,5,0.05,3,0.1,0.5,sqrt,0.7555366269165247,0.7887116564417178,0.713271193963604,0.8819978046103183,0.6277372262773723,0.4,0.265625,0.8095238095238095,0.5067567567567568,0.37606837606837606,0.2391304347826087,0.88
15,5,0.05,3,0.1,0.5,log2,0.6453719477569563,0.6541124342287455,0.660145332588038,0.6481888035126235,0.5912408759124088,0.2631578947368421,0.18181818181818182,0.47619047619047616,0.527027027027027,0.33962264150943394,0.2222222222222222,0.72
16,5,0.05,3,0.1,0.6,sqrt,0.7703009653605906,0.7909020418712845,0.7474352711284807,0.8397365532381997,0.6642335766423357,0.39473684210526316,0.2727272727272727,0.7142857142857143,0.6013513513513513,0.4158415841584158,0.27631578947368424,0.84
17,5,0.05,3,0.1,0.6,log2,0.7955706984667802,0.7928653624856157,0.8331318016928658,0.756311745334797,0.781021897810219,0.5,0.38461538461538464,0.7142857142857143,0.6959459459459459,0.4444444444444444,0.32142857142857145,0.72
18,5,0.05,3,0.1,0.7,sqrt,0.7410562180579217,0.762993762993763,0.7245804540967423,0.8057080131723381,0.656934306569343,0.38961038961038963,0.26785714285714285,0.7142857142857143,0.5135135135135135,0.28,0.18666666666666668,0.56
19,5,0.05,3,0.1,0.7,log2,0.7362294151050539,0.7647505697644973,0.7099200752233192,0.8287596048298573,0.583941605839416,0.3448275862068966,0.22727272727272727,0.7142857142857143,0.5540540540540541,0.4,0.25882352941176473,0.88
20,5,0.05,4,0.05,0.3,sqrt,0.7771152754116979,0.7904990659194022,0.7693506493506493,0.8128430296377607,0.7299270072992701,0.463768115942029,0.3333333333333333,0.7619047619047619,0.6216216216216216,0.42857142857142855,0.2876712328767123,0.84
21,5,0.05,4,0.05,0.3,log2,0.7691652470187393,0.79680079980005,0.7315282239559431,0.8748627881448957,0.6496350364963503,0.4146341463414634,0.2786885245901639,0.8095238095238095,0.5472972972972973,0.3853211009174312,0.25,0.84
22,5,0.05,4,0.05,0.4,sqrt,0.7842135150482681,0.8010471204188482,0.7657657657657657,0.8397365532381997,0.708029197080292,0.4117647058823529,0.2978723404255319,0.6666666666666666,0.6148648648648649,0.42424242424242425,0.28378378378378377,0.84
23,5,0.05,4,0.05,0.4,log2,0.7589437819420783,0.7822518594511413,0.7342320654790563,0.8369923161361141,0.6715328467153284,0.43037974683544306,0.29310344827586204,0.8095238095238095,0.5743243243243243,0.42201834862385323,0.27380952380952384,0.92
24,5,0.05,4,0.05,0.5,sqrt,0.7779670641680864,0.7693215339233038,0.8316326530612245,0.7156970362239298,0.8175182481751825,0.5098039215686274,0.43333333333333335,0.6190476190476191,0.6486486486486487,0.2972972972972973,0.22448979591836735,0.44
25,5,0.05,4,0.05,0.5,log2,0.7765474162407723,0.791633571617686,0.7647058823529411,0.8205268935236004,0.6861313868613139,0.410958904109589,0.28846153846153844,0.7142857142857143,0.5743243243243243,0.411214953271028,0.2682926829268293,0.88
26,5,0.05,4,0.05,0.6,sqrt,0.7612152186257808,0.7578462424416931,0.7970926711084192,0.7222832052689352,0.7445255474452555,0.4067796610169492,0.3157894736842105,0.5714285714285714,0.6621621621621622,0.375,0.2727272727272727,0.6
27,5,0.05,4,0.05,0.6,log2,0.7805224304372516,0.7931495852287932,0.7738903394255875,0.8133918770581778,0.7591240875912408,0.49230769230769234,0.36363636363636365,0.7619047619047619,0.5540540540540541,0.2826086956521739,0.19402985074626866,0.52
