SIM,PCA_components,kernel,C,gamma,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,no_pca,rbf,20.0,scale,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
1,no_pca,rbf,20.0,auto,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
2,no_pca,rbf,20.0,0.001,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
3,no_pca,rbf,20.0,0.01,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
4,no_pca,rbf,20.0,0.1,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
5,no_pca,rbf,20.0,1,0.8364565587734242,0.8365493757094211,0.8660399529964747,0.8090010976948409,0.7664233576642335,0.42857142857142855,0.34285714285714286,0.5714285714285714,0.7635135135135135,0.5333333333333333,0.4,0.8
6,no_pca,rbf,10.0,scale,0.8259511641113004,0.8273725711067305,0.849624060150376,0.8062568605927553,0.7299270072992701,0.39344262295081966,0.3,0.5714285714285714,0.7635135135135135,0.5454545454545454,0.40384615384615385,0.84
7,no_pca,rbf,10.0,auto,0.8259511641113004,0.8273725711067305,0.849624060150376,0.8062568605927553,0.7299270072992701,0.39344262295081966,0.3,0.5714285714285714,0.7635135135135135,0.5454545454545454,0.40384615384615385,0.84
8,no_pca,rbf,10.0,0.001,0.8259511641113004,0.8273725711067305,0.849624060150376,0.8062568605927553,0.7299270072992701,0.39344262295081966,0.3,0.5714285714285714,0.7635135135135135,0.5454545454545454,0.40384615384615385,0.84
9,no_pca,rbf,10.0,0.01,0.8259511641113004,0.8273725711067305,0.849624060150376,0.8062568605927553,0.7299270072992701,0.39344262295081966,0.3,0.5714285714285714,0.7635135135135135,0.5454545454545454,0.40384615384615385,0.84
