SIM,Hid,Drp,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,128_128_128_64_32_16,0.3,0.30199057097957044,0.30197673226046673,0.49369509939898293,0.49357967150986587,0.39896373056994816,0.3887068588903452,0.5165176353700944,0.5235314932767162,0.4482758620689655,0.44823485693050913,0.5021097046413502,0.502136573104315
1,32_32_16,0.3,0.286013619696176,0.28478878736902286,0.5179544126565663,0.5146746808735051,0.37823834196891193,0.37688334050796385,0.5636636636636636,0.5750176928520877,0.4698275862068966,0.45096681096681096,0.6772133095662507,0.5999581064097192
2,32_32_16,0.3,0.2784180199057098,0.277346765126483,0.4989908764771781,0.4991616408119771,0.39896373056994816,0.39426406926406926,0.5505390835579514,0.5663481953290871,0.5,0.48621611302023676,0.6994818652849741,0.6258064516129032
3,32_16,0.3,0.2566788894709272,0.2526015340470147,0.4998552151104526,0.4999047113341907,0.37305699481865284,0.3697406417833914,0.5313986013986014,0.5397204529370134,0.45689655172413796,0.4366327474560592,0.6581391807522461,0.587012987012987
4,128_64,0.3,0.319800942902043,0.31939712289721467,0.5021454604878726,0.502353471608278,0.5129533678756477,0.4699041608228144,0.530920060331825,0.5507784854918614,0.5732758620689655,0.5723143958438076,0.6789886820007301,0.6643066610808546
5,64_32_32,0.3,0.3077527501309586,0.3076877321277697,0.4977512236757303,0.49766237211287795,0.45595854922279794,0.43154085668602205,0.5236167341430499,0.5371549893842887,0.4482758620689655,0.44811180493606895,0.4988962472406181,0.49886887306242145
6,128_64_32_16,0.3,0.31194342587742274,0.31142263965115163,0.4874985303915037,0.4861371966663,0.48186528497409326,0.46209587513935335,0.5618721461187215,0.5958952583156405,0.5603448275862069,0.5582437275985663,0.6806634071517592,0.6578969417679095
7,64_32,0.3,0.29518072289156627,0.2950235953032395,0.5025738719617099,0.5024109616821867,0.40414507772020725,0.3963008295933632,0.5347381864623244,0.5481245576786978,0.49137931034482757,0.47735777014127534,0.6840706788893317,0.6160871386677839
8,256_128_64_32_16,0.3,0.3072289156626506,0.30722658695245786,0.5048957678138197,0.5049328294124651,0.46632124352331605,0.44922838223478234,0.5566782810685249,0.586341118188252,0.5560344827586207,0.553637807042122,0.6788759689922481,0.6546711353162966
9,256_128_64,0.3,0.3493975903614458,0.346319393899292,0.504272293939892,0.5053535933785921,0.5129533678756477,0.4699041608228144,0.530920060331825,0.5507784854918614,0.5862068965517241,0.5857142857142856,0.6846270116475505,0.6739840804356934
10,128_128_64_32,0.3,0.30094290204295443,0.30085422058931993,0.4854669785512947,0.4848013446339806,0.44559585492227977,0.4299240855762595,0.5418235294117647,0.5628980891719746,0.43103448275862066,0.4309921962095875,0.4890870488322717,0.4892333472978634
11,64_64_32,0.3,0.2964903090623363,0.29643451467511456,0.49827012725862785,0.49833482490651076,0.38860103626943004,0.3797930283224401,0.5122691626612699,0.5171620665251239,0.5,0.49030303030303024,0.6645276292335116,0.6160033514872225
12,512_256_128_64_32_16,0.3,0.356993190151912,0.35275368961933395,0.5039783318616939,0.5051397031429868,0.5440414507772021,0.4934383202099737,0.542418384879725,0.5698867657466384,0.5086206896551724,0.504941599281222,0.537151584574265,0.5407624633431085
13,512_256_128,0.3,0.38239916186485073,0.37423879344642963,0.5090962147277892,0.5126149971232329,0.5544041450777202,0.4973958333333333,0.5398730090400344,0.565552016985138,0.5086206896551724,0.504941599281222,0.537151584574265,0.5407624633431085
14,256_256_128_64,0.3,0.3143006809848088,0.3139362141697176,0.49508722604149524,0.4946355423554724,0.46632124352331605,0.4470836925986704,0.5490702479338843,0.5756369426751593,0.5431034482758621,0.5396825396825398,0.6734837092731829,0.6449937159614578
15,128_64_32,0.3,0.3182294394971189,0.3177890973292654,0.49879773691654883,0.49867637026685807,0.45077720207253885,0.4248200629779577,0.5147223466188984,0.5232661004953998,0.46551724137931033,0.465159515133487,0.514514433573219,0.5150397989107667
16,512_256_128_64,0.3,0.33315872184389733,0.33024097365095684,0.4849556170242947,0.48127611667678405,0.5025906735751295,0.4683195592286501,0.5405228758169934,0.5658174097664543,0.5129310344827587,0.508907330048892,0.5399786780383795,0.5439882697947214
17,256_128_64_32,0.3,0.35542168674698793,0.3508903369124491,0.49987359139725035,0.49983567797772555,0.5284974093264249,0.48515228798405297,0.5432092122255704,0.5710368011323426,0.5818965517241379,0.5812663974843235,0.6827474892395983,0.6707582739840804
18,64_32_16,0.3,0.30225248821372447,0.3020310859495625,0.4815080462333693,0.4801828999170242,0.47668393782383417,0.45992297675449534,0.5678861788617886,0.603414720452937,0.5474137931034483,0.5443577801470176,0.6752873563218391,0.6482195224130708
19,128_64_32_16_8,0.3,0.28627553693033003,0.28615795991457266,0.4847224296309911,0.4855509789835302,0.43523316062176165,0.4230906348553407,0.5460271317829457,0.5672328379334749,0.4396551724137931,0.43961352657004826,0.4925126168610904,0.4924172601591956
20,256_128_64_32_16_8,0.3,0.3080146673651126,0.30748087586558404,0.481425816037657,0.4793848290485121,0.49222797927461137,0.46822986954565904,0.5579377519032691,0.5915605095541401,0.5517241379310345,0.5490093457943925,0.6770843538747918,0.6514453288646838
