SIM,n_estimators,min_samples_split,max_depth,min_samples_leaf,max_samples,max_features,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,5,0.05,3,0.05,0.3,sqrt,0.7245337159253945,0.6909456740442655,0.7025368248772504,0.6797307996832938,0.6177884615384616,0.576,0.44813278008298757,0.8059701492537313,0.599009900990099,0.55,0.4194915254237288,0.7983870967741935
1,5,0.05,3,0.05,0.3,log2,0.7401362984218077,0.6922913569760034,0.7466788822721027,0.6452889944576405,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
2,5,0.05,3,0.05,0.4,sqrt,0.7342180774748924,0.6882625157761885,0.7342908438061041,0.6476642913697546,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
3,5,0.05,3,0.05,0.4,log2,0.6762912482065997,0.6724732353474868,0.6207705192629815,0.7335708630245448,0.5576923076923077,0.5533980582524272,0.41007194244604317,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
4,5,0.05,3,0.05,0.5,sqrt,0.7308106169296987,0.6876170655567118,0.7248793330408073,0.6539984164687253,0.6370192307692307,0.5746478873239437,0.46153846153846156,0.7611940298507462,0.6237623762376238,0.5529411764705883,0.4351851851851852,0.7580645161290323
5,5,0.05,3,0.05,0.5,log2,0.7408536585365854,0.6998961578400831,0.7361293141109655,0.6670625494853524,0.6442307692307693,0.5819209039548022,0.4681818181818182,0.7686567164179104,0.6287128712871287,0.5614035087719298,0.44036697247706424,0.7741935483870968
6,5,0.05,3,0.05,0.6,sqrt,0.7399569583931134,0.6918827029324267,0.7467889908256881,0.6444972288202692,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
7,5,0.05,3,0.05,0.6,log2,0.7397776183644189,0.69865005192108,0.7348186981214504,0.6658749010292954,0.6418269230769231,0.5802816901408451,0.4660633484162896,0.7686567164179104,0.6287128712871287,0.5614035087719298,0.44036697247706424,0.7741935483870968
8,5,0.05,3,0.05,0.7,sqrt,0.7991391678622669,0.7738287560581584,0.7897774113767518,0.7585114806017419,0.6418269230769231,0.5940054495912807,0.4678111587982833,0.8134328358208955,0.6410891089108911,0.5845272206303725,0.4533333333333333,0.8225806451612904
9,5,0.05,3,0.05,0.7,log2,0.7399569583931134,0.6996685998343,0.7337098175499566,0.668646080760095,0.6394230769230769,0.5810055865921788,0.4642857142857143,0.7761194029850746,0.6262376237623762,0.5597667638483965,0.4383561643835616,0.7741935483870968
10,5,0.05,3,0.1,0.3,sqrt,0.6757532281205165,0.6722262509064539,0.620066889632107,0.7339667458432304,0.5576923076923077,0.5533980582524272,0.41007194244604317,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
11,5,0.05,3,0.1,0.3,log2,0.6743185078909613,0.6712527154236061,0.6184122748498999,0.7339667458432304,0.5528846153846154,0.5507246376811594,0.40714285714285714,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
12,5,0.05,3,0.1,0.4,sqrt,0.7403156384505022,0.6924384027187765,0.7470210815765352,0.6452889944576405,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6435643564356436,0.5662650602409639,0.4519230769230769,0.7580645161290323
13,5,0.05,3,0.1,0.4,log2,0.7343974175035868,0.6881448726047589,0.7350427350427351,0.6468725257323832,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
14,5,0.05,3,0.1,0.5,sqrt,0.7342180774748924,0.688,0.7347122302158273,0.6468725257323832,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
15,5,0.05,3,0.1,0.5,log2,0.7417503586800573,0.6989966555183946,0.7404782993799823,0.6619160728424386,0.6370192307692307,0.5793871866295265,0.4622222222222222,0.7761194029850746,0.6188118811881188,0.5549132947976878,0.43243243243243246,0.7741935483870968
16,5,0.05,3,0.1,0.6,sqrt,0.7230989956958394,0.6791354945968412,0.7147856517935258,0.6468725257323832,0.6274038461538461,0.5658263305322129,0.452914798206278,0.753731343283582,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
17,5,0.05,3,0.1,0.6,log2,0.7342180774748924,0.688,0.7347122302158273,0.6468725257323832,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
18,5,0.05,3,0.1,0.7,sqrt,0.7403156384505022,0.6916524701873935,0.7483870967741936,0.6429136975455265,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6435643564356436,0.5662650602409639,0.4519230769230769,0.7580645161290323
19,5,0.05,3,0.1,0.7,log2,0.7067790530846485,0.6672094443313658,0.6866359447004609,0.6488519398258116,0.6201923076923077,0.5611111111111111,0.4469026548672566,0.753731343283582,0.6188118811881188,0.5497076023391813,0.43119266055045874,0.7580645161290323
20,5,0.05,4,0.05,0.3,sqrt,0.7385222381635581,0.6909707503179313,0.7436131386861314,0.6452889944576405,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6386138613861386,0.562874251497006,0.44761904761904764,0.7580645161290323
21,5,0.05,4,0.05,0.3,log2,0.734038737446198,0.6878551883813934,0.7343820224719101,0.6468725257323832,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
22,5,0.05,4,0.05,0.4,sqrt,0.7666786226685797,0.7350845041743026,0.7568134171907757,0.7145684877276326,0.6370192307692307,0.5793871866295265,0.4622222222222222,0.7761194029850746,0.6435643564356436,0.5714285714285714,0.4528301886792453,0.7741935483870968
23,5,0.05,4,0.05,0.4,log2,0.7410329985652798,0.6928966397277754,0.7486213235294118,0.6448931116389549,0.6394230769230769,0.5738636363636364,0.463302752293578,0.753731343283582,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
24,5,0.05,4,0.05,0.5,sqrt,0.7067790530846485,0.6674801708358755,0.6863237139272271,0.649643705463183,0.6177884615384616,0.5595567867036011,0.44493392070484583,0.753731343283582,0.6163366336633663,0.5481049562682215,0.4292237442922374,0.7580645161290323
25,5,0.05,4,0.05,0.5,log2,0.7387015781922525,0.6975295827278389,0.7333042339589699,0.665083135391924,0.6322115384615384,0.5761772853185596,0.4581497797356828,0.7761194029850746,0.6113861386138614,0.5501432664756447,0.4266666666666667,0.7741935483870968
26,5,0.05,4,0.05,0.6,sqrt,0.7338593974175036,0.6877104377104377,0.734052111410602,0.6468725257323832,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
27,5,0.05,4,0.05,0.6,log2,0.7338593974175036,0.702485966319166,0.7116165718927701,0.6935866983372921,0.6105769230769231,0.5714285714285714,0.4426229508196721,0.8059701492537313,0.6188118811881188,0.56,0.4336283185840708,0.7903225806451613
28,5,0.05,4,0.05,0.7,sqrt,0.7335007173601148,0.6951169470660649,0.721465076660988,0.6706254948535234,0.6370192307692307,0.5770308123249299,0.4618834080717489,0.7686567164179104,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
29,5,0.05,4,0.05,0.7,log2,0.7598637015781923,0.7413559976820553,0.7238777819690683,0.7596991290577989,0.6201923076923077,0.5885416666666666,0.452,0.8432835820895522,0.6138613861386139,0.569060773480663,0.4327731092436975,0.8306451612903226
30,5,0.05,4,0.1,0.3,sqrt,0.7085724533715926,0.6680286006128703,0.6901646264246517,0.6472684085510689,0.6201923076923077,0.5611111111111111,0.4469026548672566,0.753731343283582,0.6212871287128713,0.5513196480938416,0.43317972350230416,0.7580645161290323
31,5,0.05,4,0.1,0.3,log2,0.6732424677187948,0.6704052098408104,0.617255163224517,0.7335708630245448,0.5504807692307693,0.5493975903614458,0.40569395017793597,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
32,5,0.05,4,0.1,0.4,sqrt,0.723816355810617,0.6794338051623647,0.7164179104477612,0.6460807600950119,0.625,0.5617977528089888,0.45045045045045046,0.746268656716418,0.6287128712871287,0.5562130177514792,0.4392523364485981,0.7580645161290323
33,5,0.05,4,0.1,0.4,log2,0.724713055954089,0.6806740170584564,0.7172292854011398,0.6476642913697546,0.625,0.5617977528089888,0.45045045045045046,0.746268656716418,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
34,5,0.05,4,0.1,0.5,sqrt,0.7342180774748924,0.688,0.7347122302158273,0.6468725257323832,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
35,5,0.05,4,0.1,0.5,log2,0.6743185078909613,0.6712527154236061,0.6184122748498999,0.7339667458432304,0.5528846153846154,0.5507246376811594,0.40714285714285714,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
36,5,0.05,4,0.1,0.6,sqrt,0.7308106169296987,0.6974400322515621,0.7104722792607803,0.6848772763262074,0.6225961538461539,0.579088471849866,0.45188284518828453,0.8059701492537313,0.6138613861386139,0.5617977528089888,0.43103448275862066,0.8064516129032258
37,5,0.05,4,0.1,0.6,log2,0.7067790530846485,0.6685586863977295,0.6850851682592439,0.6528107680126682,0.6153846153846154,0.5555555555555556,0.4424778761061947,0.746268656716418,0.6138613861386139,0.5465116279069767,0.42727272727272725,0.7580645161290323
38,5,0.05,4,0.1,0.7,sqrt,0.7412123385939742,0.6989359482578761,0.7388619320688135,0.6631037212984956,0.6346153846153846,0.5730337078651685,0.4594594594594595,0.7611940298507462,0.6287128712871287,0.5562130177514792,0.4392523364485981,0.7580645161290323
39,5,0.05,4,0.1,0.7,log2,0.7342180774748924,0.688,0.7347122302158273,0.6468725257323832,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
40,5,0.05,5,0.05,0.3,sqrt,0.7309899569583931,0.6854026845637584,0.7288135593220338,0.6468725257323832,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
41,5,0.05,5,0.05,0.3,log2,0.7455164992826399,0.7128111718275653,0.7291925465838509,0.6971496437054632,0.6322115384615384,0.5898123324396782,0.4602510460251046,0.8208955223880597,0.6212871287128713,0.5616045845272206,0.43555555555555553,0.7903225806451613
42,5,0.05,5,0.05,0.4,sqrt,0.7229196556671449,0.6821641637523144,0.7100642398286938,0.6563737133808393,0.6225961538461539,0.5626740947075209,0.4488888888888889,0.753731343283582,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
43,5,0.05,5,0.05,0.4,log2,0.7638091822094691,0.7445198836081475,0.7299353366298973,0.7596991290577989,0.6225961538461539,0.5857519788918206,0.4530612244897959,0.8283582089552238,0.6039603960396039,0.553072625698324,0.4230769230769231,0.7983870967741935
44,5,0.05,5,0.05,0.5,sqrt,0.7403156384505022,0.7080645161290322,0.7214461791290058,0.6951702296120348,0.6274038461538461,0.5682451253481894,0.4533333333333333,0.7611940298507462,0.6138613861386139,0.5517241379310345,0.42857142857142855,0.7741935483870968
45,5,0.05,5,0.05,0.5,log2,0.7430057388809183,0.6978705460678896,0.7465042850699143,0.6551860649247823,0.6418269230769231,0.5802816901408451,0.4660633484162896,0.7686567164179104,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
46,5,0.05,5,0.05,0.6,sqrt,0.7248923959827833,0.6805497709287797,0.7179261862917399,0.6468725257323832,0.6274038461538461,0.5658263305322129,0.452914798206278,0.753731343283582,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
47,5,0.05,5,0.05,0.6,log2,0.7785150645624104,0.7577956462051383,0.7508744656043529,0.7648456057007126,0.6298076923076923,0.5837837837837838,0.4576271186440678,0.8059701492537313,0.6212871287128713,0.5641025641025641,0.43612334801762115,0.7983870967741935
48,5,0.05,5,0.05,0.7,sqrt,0.741571018651363,0.6996039191161142,0.7388815499779833,0.6642913697545526,0.6418269230769231,0.5826330532212886,0.4663677130044843,0.7761194029850746,0.6410891089108911,0.56973293768546,0.4507042253521127,0.7741935483870968
49,5,0.05,5,0.05,0.7,log2,0.7447991391678622,0.7019895287958116,0.7452200978212539,0.6634996041171813,0.6394230769230769,0.5738636363636364,0.463302752293578,0.753731343283582,0.6311881188118812,0.5578635014836796,0.4413145539906103,0.7580645161290323
50,5,0.05,5,0.1,0.3,sqrt,0.7347560975609756,0.6886971163965481,0.7352808988764045,0.6476642913697546,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
51,5,0.05,5,0.1,0.3,log2,0.7327833572453372,0.6868432114333753,0.732078853046595,0.6468725257323832,0.6322115384615384,0.5690140845070423,0.45701357466063347,0.753731343283582,0.6311881188118812,0.5578635014836796,0.4413145539906103,0.7580645161290323
52,5,0.05,5,0.1,0.4,sqrt,0.7342180774748924,0.688,0.7347122302158273,0.6468725257323832,0.6370192307692307,0.5722379603399433,0.4611872146118721,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
53,5,0.05,5,0.1,0.4,log2,0.7234576757532282,0.6794178794178795,0.7154115586690017,0.6468725257323832,0.6274038461538461,0.5658263305322129,0.452914798206278,0.753731343283582,0.6262376237623762,0.5545722713864307,0.4372093023255814,0.7580645161290323
54,5,0.05,5,0.1,0.5,sqrt,0.7336800573888091,0.6878284633172167,0.7333034513671,0.6476642913697546,0.6346153846153846,0.5706214689265536,0.4590909090909091,0.753731343283582,0.6336633663366337,0.5595238095238095,0.44339622641509435,0.7580645161290323
55,5,0.05,5,0.1,0.5,log2,0.7403156384505022,0.6916524701873935,0.7483870967741936,0.6429136975455265,0.6394230769230769,0.5714285714285714,0.46296296296296297,0.746268656716418,0.6435643564356436,0.5662650602409639,0.4519230769230769,0.7580645161290323
56,5,0.05,5,0.1,0.6,sqrt,0.706599713055954,0.6682887266828873,0.684954280964256,0.6524148851939826,0.6153846153846154,0.5555555555555556,0.4424778761061947,0.746268656716418,0.6138613861386139,0.5465116279069767,0.42727272727272725,0.7580645161290323
57,5,0.05,5,0.1,0.6,log2,0.6732424677187948,0.6704052098408104,0.617255163224517,0.7335708630245448,0.5504807692307693,0.5493975903614458,0.40569395017793597,0.8507462686567164,0.5420792079207921,0.5340050377833753,0.3882783882783883,0.8548387096774194
58,5,0.05,5,0.1,0.7,sqrt,0.7277618364418939,0.6826923076923077,0.7232063773250664,0.6464766429136976,0.6274038461538461,0.5658263305322129,0.452914798206278,0.753731343283582,0.6287128712871287,0.5562130177514792,0.4392523364485981,0.7580645161290323
59,5,0.05,5,0.1,0.7,log2,0.6762912482065997,0.6725920551423907,0.6206896551724138,0.7339667458432304,0.5600961538461539,0.5547445255474452,0.41155234657039713,0.8507462686567164,0.5445544554455446,0.5353535353535354,0.3897058823529412,0.8548387096774194
60,5,0.05,6,0.05,0.3,sqrt,0.7058823529411765,0.6676124847993514,0.6839700996677741,0.6520190023752969,0.6129807692307693,0.5564738292011019,0.4410480349344978,0.753731343283582,0.6188118811881188,0.5497076023391813,0.43119266055045874,0.7580645161290323
61,5,0.05,6,0.05,0.3,log2,0.7284791965566715,0.6930251419302514,0.7103075644222776,0.6765637371338084,0.6225961538461539,0.5768194070080862,0.45147679324894513,0.7985074626865671,0.6014851485148515,0.5439093484419264,0.4192139737991266,0.7741935483870968
62,5,0.05,6,0.05,0.4,sqrt,0.7467718794835008,0.7091058920477956,0.7392611683848798,0.6813143309580364,0.6370192307692307,0.5817174515235457,0.46255506607929514,0.7835820895522388,0.6064356435643564,0.5470085470085471,0.42290748898678415,0.7741935483870968
63,5,0.05,6,0.05,0.4,log2,0.7401362984218077,0.6926829268292682,0.7460027409776153,0.6464766429136976,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
64,5,0.05,6,0.05,0.5,sqrt,0.7404949784791965,0.6923240484796939,0.7478180983004135,0.6444972288202692,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6410891089108911,0.5645645645645646,0.44976076555023925,0.7580645161290323
65,5,0.05,6,0.05,0.5,log2,0.755738880918221,0.723395613322502,0.7427022518765638,0.7050673000791766,0.6346153846153846,0.5777777777777777,0.46017699115044247,0.7761194029850746,0.6138613861386139,0.5465116279069767,0.42727272727272725,0.7580645161290323
66,5,0.05,6,0.05,0.6,sqrt,0.7571736011477762,0.7250203086921202,0.744370308590492,0.7066508313539193,0.6466346153846154,0.5882352941176471,0.47085201793721976,0.7835820895522388,0.6311881188118812,0.565597667638484,0.4429223744292237,0.782258064516129
67,5,0.05,6,0.05,0.6,log2,0.7392395982783357,0.6918185671894871,0.7445255474452555,0.6460807600950119,0.6418269230769231,0.5754985754985755,0.46543778801843316,0.753731343283582,0.6361386138613861,0.5611940298507463,0.44549763033175355,0.7580645161290323
68,5,0.05,6,0.05,0.7,sqrt,0.7605810616929699,0.7299211005462269,0.7463798096814233,0.714172604908947,0.6370192307692307,0.5840220385674931,0.462882096069869,0.7910447761194029,0.6262376237623762,0.5597667638483965,0.4383561643835616,0.7741935483870968
69,5,0.05,6,0.05,0.7,log2,0.7763629842180775,0.7551541331238956,0.749123490455785,0.7612826603325415,0.6298076923076923,0.5882352941176471,0.4583333333333333,0.8208955223880597,0.6237623762376238,0.5730337078651685,0.4396551724137931,0.8225806451612904
