SIM,Hid,Drp,acc_train,f1_train,prec_train,rec_train,acc_val,f1_val,prec_val,rec_val,acc_test,f1_test,prec_test,rec_test
0,128_128_128_64_32_16,0.3,0.3842012744451769,0.38015941670673353,0.4966715318501935,0.49729161746241524,0.5260869565217391,0.5237823873565839,0.6550724637681159,0.6337180239507945,0.537117903930131,0.5356213651668198,0.6838271129921765,0.6616224261969734
1,32_32_16,0.3,0.3978246539222149,0.39575262636470404,0.5033155016120779,0.5028881539133376,0.5434782608695652,0.5426136363636364,0.6554586082145137,0.6428897437569276,0.5436681222707423,0.54317811958633,0.6693789839675488,0.6582057238221961
2,32_32_16,0.3,0.3782685124148539,0.3735131384045658,0.4915524055609387,0.4932727476908165,0.5260869565217391,0.5234836821197089,0.6590242533982811,0.6355219404055552,0.5393013100436681,0.5379245382257734,0.684516523867809,0.6631898243160957
3,32_16,0.3,0.37848824434190287,0.3721712705090612,0.49982673799323896,0.49986845575293465,0.5173913043478261,0.5140752583794895,0.6552967929114718,0.6291321640477278,0.5065502183406113,0.5027574412482466,0.6742635266312147,0.6396788525292618
4,128_64,0.3,0.3988134475939354,0.39726056043496444,0.5003604401920752,0.5003208515723974,0.5543478260869565,0.553586222241158,0.6672628012048193,0.6544847971137338,0.5589519650655022,0.5585394716750649,0.6867027027027027,0.6752666832051599
5,64_32_32,0.3,0.36442540101076687,0.3531636275921222,0.49741681051016495,0.49828646764630924,0.4717391304347826,0.4602894100265076,0.6555921052631579,0.6028015039881767,0.49344978165938863,0.48782415887399977,0.6756594903733868,0.6323041879975644
6,128_64_32_16,0.3,0.3855196660074709,0.3804295824907837,0.5045957530468903,0.503615075604523,0.5282608695652173,0.5261086503449028,0.6560244587008821,0.6353154680402513,0.5305676855895196,0.5289305618676299,0.6772295623451693,0.6548905076565706
7,64_32,0.3,0.3845308723357504,0.37956873451276435,0.5023475441976589,0.5018544973122739,0.5130434782608696,0.50969755800453,0.6492851355236676,0.6241333594140532,0.5327510917030568,0.5309981816441764,0.6824519043539217,0.658487629958729
8,256_128_64_32_16,0.3,0.3894748406943529,0.386178591497984,0.4999952303927667,0.4999960242868824,0.55,0.5492309658727792,0.6618505271084337,0.6494859924800591,0.5567685589519651,0.5561570593149541,0.6900858704137393,0.6757290092690738
9,256_128_64,0.3,0.3795869039771479,0.3740897683654515,0.4974457828755472,0.4980128348695623,0.5239130434782608,0.5211408199643494,0.6580972906403941,0.6339244963160984,0.5305676855895196,0.5286780297047238,0.6817659352142111,0.6569202318396067
10,128_128_64_32,0.3,0.3928806855636124,0.3901595528630254,0.5011131250092746,0.5009465366266604,0.558695652173913,0.557941478609537,0.6726750753012049,0.6594836017474083,0.5567685589519651,0.5561570593149541,0.6900858704137393,0.6757290092690738
11,64_64_32,0.3,0.3855196660074709,0.3830747263554076,0.4887395649501298,0.49031475951228254,0.5673913043478261,0.56648781250148,0.6872683205018534,0.6712851274695182,0.5720524017467249,0.5717584199980917,0.6990746247353522,0.6887305202859656
12,512_256_128_64_32_16,0.3,0.35750384530872337,0.343226515890345,0.4958693092483307,0.4974682486009955,0.45652173913043476,0.4412702114427861,0.6556356131648503,0.5934233118167395,0.4606986899563319,0.4489051272682986,0.6800518134715026,0.6128526645768025
13,512_256_128,0.3,0.3760711931443639,0.37132323684383073,0.48813604220866735,0.4905449475398892,0.5369565217391304,0.5351088209756167,0.6636187927445732,0.6435091608528396,0.5414847161572053,0.54022219247758,0.6852072506021042,0.664757222435218
14,256_256_128_64,0.3,0.3840914084816524,0.3805521853868243,0.49357069788244035,0.49467989084881303,0.5260869565217391,0.5237823873565839,0.6550724637681159,0.6337180239507945,0.537117903930131,0.5356213651668198,0.6838271129921765,0.6616224261969734
15,128_64_32,0.3,0.3817842232476379,0.37533275540655614,0.5058711486747469,0.5044351672683342,0.5130434782608696,0.50969755800453,0.6492851355236676,0.6241333594140532,0.5327510917030568,0.5307377049180328,0.6871007597066323,0.6605173541417649
16,512_256_128_64,0.3,0.3851900681168974,0.3819403582083728,0.4934334201953904,0.49451319899302676,0.5391304347826087,0.5378724694821442,0.6570649682757955,0.6414987720327747,0.5393013100436681,0.5385070892012054,0.6717455621301776,0.6571006517669877
17,256_128_64_32,0.3,0.3812348934300154,0.37412674977251836,0.5083058477899244,0.5061546631917013,0.5065217391304347,0.5008580346942385,0.6641391363175104,0.6265566929647258,0.5283842794759825,0.5260707099741305,0.6858109007641717,0.6573825579035204
18,64_32_16,0.3,0.3951878707976269,0.39192246647406903,0.5081744846750446,0.5068138537123106,0.5347826086956522,0.5330525197328476,0.6588629586732053,0.6401078003086219,0.5283842794759825,0.5268595041322315,0.6720790047454149,0.6512933853544124
19,128_64_32_16_8,0.3,0.37771918259723136,0.37369051862984715,0.4868643842271252,0.4892921081460806,0.532608695652174,0.5309928819041025,0.6541666666666667,0.6367064397644042,0.5305676855895196,0.5289305618676299,0.6772295623451693,0.6548905076565706
20,256_128_64_32_16_8,0.3,0.3932102834541859,0.3900902887039372,0.5043063836386845,0.5036093713204848,0.5391304347826087,0.5374165148755312,0.6645309150052983,0.6451066049422964,0.5436681222707423,0.5425143976868114,0.6858993748739666,0.6663246205543403
