Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label
5474357345497899,0.411423,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8344361451501711,0.411040,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9188530084165141,0.000564,2,71,121,96.000000,0.000000,0.000000,0.000000,0.500000,4
6945311714089580,0.409504,2,122,0,61.000000,0.000000,0.000000,0.000000,1.000000,4
9236828861213808,0.472157,2,82,329,205.500000,0.000000,0.000000,0.000000,0.500000,4
4644723227556844,0.490665,2,82,329,205.500000,0.000000,0.000000,0.000000,0.500000,4
3998009210102740,109.667381,9,624,459,120.333333,36.090744,3.142829,1.331751,0.666667,4
2899732559959980,0.412215,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9081929254374964,0.411847,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9175601687038894,0.339711,10,437,495,93.200000,0.075113,3.085412,1.549038,0.500000,4
6348599131025389,0.000000,1,60,0,60.000000,0.000000,0.000000,0.000000,1.000000,4
6698703529043711,0.413081,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2440533371862378,0.412738,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2611280624518100,0.001103,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
1066564165525495,0.000894,2,74,124,99.000000,0.000000,0.000000,0.000000,0.500000,4
7558955953934828,0.413276,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
518833369656319,0.413196,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
3893437454253583,0.000000,1,74,0,74.000000,0.000000,0.000000,0.000000,1.000000,4
8265643659496267,0.416089,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9361613015328330,0.415742,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8562808946148913,0.230920,30,9255,6566,527.366667,0.027889,19.187726,0.790026,0.566667,4
2524031044304972,0.411323,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
5575581517735563,0.411147,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9677718043134283,0.000576,2,84,549,316.500000,0.000000,0.000000,0.000000,0.500000,4
3163929594143666,0.000594,2,84,545,314.500000,0.000000,0.000000,0.000000,0.500000,4
1857726264414154,0.498667,17,2415,4894,429.941176,0.057752,8.648764,0.968992,0.529412,4
590147244437734,0.044666,2,75,521,298.000000,0.000000,0.000000,0.000000,0.500000,4
1999698125158791,0.223983,2,90,90,90.000000,0.000000,0.000000,0.000000,0.500000,4
7723619911241809,0.411728,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9606576673370640,0.411291,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
178081266379286,0.415521,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
757357480275985,0.415116,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
4739656209046288,0.412067,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
1247529019304300,0.411533,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
6249979236720200,0.411688,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
2776426227006765,0.411026,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
937591443456595,0.449065,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
9869806121810346,0.448529,2,128,0,64.000000,0.000000,0.000000,0.000000,1.000000,4
8779866313624574,50.374632,454,278762,16314,649.947137,0.846483,107.757755,0.273121,0.493392,9
9905925369094693,0.055261,2,54,60,57.000000,0.000000,0.000000,0.000000,0.500000,9
5277905500195059,50.055969,16,498,480,61.125000,4.193129,-1.313340,-0.538363,0.500000,9
4637643600502691,50.098048,18,804,432,68.666667,4.515742,-1.183361,0.381802,0.666667,9
4541467813868334,45.053644,4,132,132,66.000000,21.201937,0.000000,,0.500000,9
1229895515778314,50.060104,20,920,600,76.000000,4.026516,-0.663332,2.641476,0.500000,9
3718204554491428,45.193535,4,132,132,66.000000,21.267965,0.000000,,0.500000,9
3598888866584572,22.054504,13,3495,1038,348.692308,3.324232,1.447304,1.093807,0.615385,9
646484418878344,45.078472,4,132,132,66.000000,21.218700,0.000000,,0.500000,9
6015921885962319,45.136851,4,132,132,66.000000,21.242638,0.000000,,0.500000,9
1020400889916491,25.389344,8,264,295,69.875000,5.021046,0.320711,2.267787,0.500000,9
5709599169410849,45.128872,4,132,132,66.000000,21.189121,0.000000,,0.500000,9
8826556335570701,24.752481,7,264,192,65.142857,5.876011,-1.024992,-2.041241,0.571429,9
5655376884845943,45.077761,4,132,132,66.000000,21.219407,0.000000,,0.500000,9
9471583190167550,24.387246,6,198,198,66.000000,6.199154,-1.272983,,0.500000,9
1717450558984052,45.168589,4,132,132,66.000000,21.207735,0.000000,,0.500000,9
9720169528114836,45.163280,4,132,132,66.000000,21.203336,0.000000,,0.500000,9
4021821763368432,45.136643,4,132,132,66.000000,21.193351,0.000000,,0.500000,9
7521289171753571,45.116255,4,132,132,66.000000,21.183614,0.000000,,0.500000,9
6795822715077363,45.121800,4,132,132,66.000000,21.184308,0.000000,,0.500000,9
3356674008790425,45.179541,4,108,120,57.000000,21.214266,0.000000,0.000000,0.500000,9
979220159792732,45.179004,4,108,120,57.000000,21.214820,0.000000,0.000000,0.500000,9
2408196027328633,45.145524,4,132,132,66.000000,21.245368,0.000000,,0.500000,9
1541612904230885,30.062949,15,5877,1122,466.600000,7.179474,8.966495,1.119022,0.600000,9
654847434490020,30.060338,9,2651,837,387.555556,9.170516,3.090053,0.477991,0.666667,9
